image no,Energy(x1),Contrast(x2),Correlation(X3),Variance(x4),Inverse difference moment(x5),Sum average(x6),Sum variance(x7),Sum entropy(x8),Entropy (x9),Difference Variance(x10),Difference Entropy(x11),Information measure of correlation-1(x12),Information measure of correlation-2 (x13),Maximal Correlation Coefficient (X14),Label
1,0.975257907,0.00182097,0.920566436,0.591491758,0.999089515,2.023193406,3.849550108,0.072418637,0.106298979,0.25,0.013306692,-0.834460974,0.552873251,0.920566436,1
2,0.97778311,0.001635269,0.92055742,0.588500785,0.999182365,2.020800628,3.86005576,0.066184952,0.097119972,0.25,0.012125735,-0.835986506,0.532692468,0.92055742,1
3,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
4,0.968591167,0.002886003,0.898847331,0.598687771,0.998556999,2.028950216,3.816684976,0.08923151,0.131619859,0.25,0.019758841,-0.794450182,0.594847236,0.898847331,1
5,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
6,0.964429601,0.003119869,0.903886528,0.603756158,0.998440066,2.033004926,3.803292154,0.098711387,0.145530297,0.25,0.021116528,-0.800486705,0.620069467,0.903886528,1
7,0.965114106,0.001981024,0.939802599,0.604336096,0.999009488,2.033468877,3.820510094,0.095254872,0.139404755,0.25,0.014309233,-0.863764998,0.622767375,0.939802599,1
8,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
9,0.98460629,0.001757855,0.871114995,0.579666557,0.999121072,2.013733245,3.88368502,0.049512029,0.073188614,0.25,0.012907548,-0.764064175,0.459244027,0.871114995,1
10,0.965247348,0.001939171,0.940909985,0.604217697,0.999030414,2.033374158,3.821433997,0.094885394,0.138829859,0.25,0.014048373,-0.865877136,0.622219481,0.940909985,1
11,0.980302908,0.001867414,0.895284231,0.584993846,0.999066293,2.017995077,3.865641781,0.060485725,0.089129869,0.25,0.013599004,-0.796707992,0.506385051,0.895284231,1
12,0.982739667,0.001712915,0.88984716,0.58209147,0.999143542,2.015673176,3.876687006,0.054219832,0.079935599,0.25,0.012621962,-0.790370288,0.481954839,0.88984716,1
13,0.986202381,0.001564945,0.872094037,0.577888628,0.999217527,2.012310902,3.892806777,0.045104387,0.06663682,0.25,0.011673117,-0.767313153,0.440967369,0.872094037,1
14,0.963750173,0.001960784,0.94282242,0.606127451,0.999019608,2.034901961,3.817764925,0.09811598,0.143512222,0.25,0.014183195,-0.86890277,0.630880635,0.94282242,1
15,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
16,0.952237108,0.003222342,0.927670617,0.619487707,0.998388829,2.045590166,3.777434106,0.124248297,0.182474743,0.25,0.021705803,-0.836694776,0.682671666,0.927670617,1
17,0.952959483,0.004233512,0.901143756,0.617229278,0.997883244,2.043783422,3.76530798,0.124436754,0.183757799,0.25,0.027359508,-0.790543019,0.674846562,0.901143756,1
18,0.96335933,0.002119205,0.938619938,0.60642936,0.998940397,2.035143488,3.814561172,0.099264239,0.14532723,0.25,0.015164299,-0.860897008,0.632216372,0.938619938,1
19,0.975169248,0.001445348,0.938199969,0.592084463,0.999277326,2.02366757,3.854621302,0.071926895,0.105213922,0.25,0.010896018,-0.865233039,0.556658948,0.938199969,1
20,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
21,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
22,0.993884705,0.000766284,0.856758685,0.569204981,0.999616858,2.005363985,3.941587197,0.022524031,0.033261591,0.25,0.006263276,-0.757735527,0.318691164,0.856758685,1
23,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
24,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
25,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
26,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
27,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
28,0.982909871,0.001415094,0.909734579,0.582252358,0.999292453,2.015801887,3.881150048,0.053351615,0.078385205,0.25,0.010697903,-0.821838328,0.483382175,0.909734579,1
29,0.943010763,0.003497444,0.93463213,0.631271859,0.998251278,2.055017487,3.759857016,0.14285996,0.2096008,0.25,0.023271896,-0.846700802,0.718765691,0.93463213,1
30,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
31,0.97049362,0.001708964,0.938527238,0.597747372,0.999145518,2.028197898,3.837679741,0.083001756,0.121455186,0.25,0.012596793,-0.86363612,0.589811029,0.938527238,1
32,0.962696309,0.002232143,0.936363636,0.607142857,0.998883929,2.035714286,3.811473719,0.100887988,0.147782743,0.25,0.01585642,-0.856469653,0.635338107,0.936363636,1
33,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
34,0.992390535,0.000954085,0.856664216,0.570848241,0.999522958,2.006678593,3.930669243,0.027206252,0.04020441,0.25,0.007589058,-0.754486587,0.348036423,0.856664216,1
35,0.992303696,0.000857843,0.874569602,0.571078431,0.999571078,2.006862745,3.931293809,0.027349356,0.040314623,0.25,0.006914782,-0.779622939,0.351824036,0.874569602,1
36,0.986476882,0.000827358,0.93483546,0.578472605,0.999586321,2.012778084,3.903622027,0.043246034,0.063218197,0.25,0.006699001,-0.866350954,0.447139671,0.93483546,1
